Albillo,White,阿比利诺
Albariño,White,阿尔巴利诺
Alvarinho,White,
Cainho Branco,White,
Agiorgitiko,Red,
Aghiorghitiko,Red,阿吉欧吉提可
Aligoté,White,阿里高特
Aglianico,Red,阿里亚尼考
Airén,White,阿依伦
Antão Vaz,White,安图奥维斯
Barbera,Red,巴贝拉
Băbească Neagră,Red,巴贝萨卡尼格拉
Bical,White,巴加
Tinta Barroca,Red,巴罗卡红
Garnacha Blanca,White,白歌海娜
Grenache Blanc,White,白歌海娜
Chenin Blanc,White,白诗南
Pineau de la Loire,White,白诗南
Steen,White,白诗南
Ugni blanc,White,白玉霓
Trebbiano,White,白玉霓
Melon de Bourgogne,White,勃艮第香瓜
Muscadet,White,密斯卡岱
Bonarda,Red,勃纳达
Bual,Red,布尔
Boal,Red,
Bourboulenc,White,布尔朗克
Trepat,Red,查帕
Cabernet Sauvignon,Red,赤霞珠
Zweigelt,Red,茨威格
Zweigeltrebe,Red,
Rotburger,Red,
Dornfelder,Red,丹菲特
Tannat,Red,丹娜
Pedro Ximénez,White,德罗-门西内
PX,White,德罗-门西内
Alamís,White,
Tibouren,Red,堤布宏
Dolcetto,Red,多姿桃
Falanghina,White,法拉菲娜
Fiano,White,菲诺
Fernao Pires,White,费尔诺皮埃斯
Fernão Pires,White,
Maria Gomes,White,
Colombard,White,鸽笼白
Garnatxa,Red,歌海娜
Grenache,Red,歌海娜
Garnacha,Red,歌海娜
Cannonau,Red,
Graciano,Red,格拉西亚诺
Moristel,Red,
Grechetto,White,格莱托
Greco Bianco,White,格瑞比阿科
Nero d'Avola,Red,黑达沃拉
Terret Noir,Red,黑德瑞
Negroamaro,Red,黑曼罗
Tinta Negra Mole,Red,黑莫乐
Preto Martinho,Red,
Pinot Noir,Red,黑皮诺
Spätburgunder,Red,
Blauburgunder,Red,
Pinot Nero,Red,黑皮诺
Picpoul Noir,Red,黑匹格普勒
Rolle,White,侯尔
Roupeiro,White,胡佩里奥
Codega,White,
Roussanne,White,胡姗
Pinot Grigio,White,灰皮诺
Pinot Gris,White,灰皮诺
Grauburgunder,White,
Gaglioppo,Red,加利尤波
Carignan,Red,佳丽酿
Carignane,Red,佳丽酿
Cariñena,Red,佳丽酿
Carignano,Red,佳丽酿
Mazuelo,Red,
Gamay,Red,佳美
Gamay Noir,Red,
Carménère,Red,佳美娜
Zinfandel,Red,金粉黛
Crljenak Kaštelanski,Red,
Primitivo,Red,
Garganega,White,卡尔卡耐卡
Colorino,Red,卡乐罗
Canaiolo,Red,卡内奥罗
Cortese,White,柯蒂丝
Corvina,Red,科维纳
Corvinone,Red,
Clairette,White,克莱雷特
Criolla Grande,White,克里奥拉格林塔
Blaufränkisch,Red,蓝色弗朗克
Lemberger,Red,
Franconia,Red,
Kékfrankos,Red,
Gamé,Red,
Wildbacher,Red,蓝色威德巴赫
Blauer Wildbacher,Red,
Riesling,White,雷司令
Johannisberg Riesling,White,
Rheinriesling,White,
Klingelberger,White,
Rondinella,Red,龙堤内拉
Grüner Veltliner,White,绿维特利纳
Ribolla,White,罗柏拉
Robola,White,
Macabeo,White,马卡贝奥
Macabeu,White,
Alcañón,White,
Viura,White,
Malvasia,White,玛尔维萨
Marsanne,White,玛珊
Merlot,Red,梅洛
Mourvèdre,Red,慕合怀特
Monastrell,Red,
Mataro,Red,
Nebbiolo,Red,内比欧罗
Palomino,White,帕洛米诺
Listan,White,
Perrum,White,
Pais,Red,派斯
Pinotage,Red,皮诺塔吉
Cabernet Franc,Red,品丽珠
Poulsard,Red,普萨
Plousard,Red,
Gewürztraminer,White,琼瑶浆
Tramini,White,
Sémillon,White,赛美蓉
Sangiovese,Red,桑乔维赛
Cabernet Gernischet,Red,蛇龙珠
Shiraz,Red,设拉子
Syrah,Red,西拉
Muscat,White,麝香
Moscato,White,麝香
Cinsaut,Red,神索
Cinsault,Red,神索
Ottavianello,Red,
St. Laurent,Red,圣罗兰
Svatovavrinecke,Red,
Scheurebe,White,施埃博
Tempranillo,Red,添普尼罗
Tinta Roriz,Red,
Ull de Llebre,Red,
Cencibel,Red,
Tinta del Pais,Red,
Torrontés,White,托隆特斯
Torontel,White,
Vidal Blanc,White,维达尔
Vidal,White,
Viognier,White,维欧尼
Silvaner,White,西万尼
Sylvaner,White,
Österreicher,White,
Chardonnay,White,霞多丽
Petit Verdot,Red,小维尔多
