编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
1,Château Ausone,欧颂庄园/奥信庄园/ 奥松庄园,http://www.chateau-ausone-saint-emilion.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Ausone,欧颂庄园/奥信庄园/ 奥松庄园,2008,,,,750,
2,Château Cheval Blanc,白马庄园,http://www.chateau-cheval-blanc.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Cheval Blanc,白马庄园,2008,,,,750,
3,Château Angélus,金钟庄园/金钟庄/金钟堡,http://www.angelus.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Angélus,金钟庄园/金钟庄/金钟堡,2008,,,,750,
4,Château Belair Monange,宝雅庄园,http://www.moueix.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Belair Monange,宝雅庄园,2008,,,,750,
5,Clos Fourtet,富尔泰庄园/弗禾岱庄园,http://www.closfourtet.com/ ,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Clos Fourtet,富尔泰庄园/弗禾岱庄园,2008,,,,750,
6,Château Pavie,柏菲庄,http://www.chateaupavie.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Pavie,柏菲庄,2008,,,,750,
7,Château Beau-Séjour Bécot,博塞留贝戈堡/博塞留贝戈庄园/宝世珠-贝格,http://www.beausejour-becot.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Beau-Séjour Bécot,博塞留贝戈堡/博塞留贝戈庄园/宝世珠-贝格,2008,,,,750,
8,Château Figeac,飞卓庄,http://www.chateau-figeac.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Figeac,飞卓庄,2008,,,,750,
9,Château Magdelaine,美特朗庄园/玛德莱娜庄园/玛德琳酒庄,http://www.moueix.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Magdelaine,美特朗庄园/玛德莱娜庄园/玛德琳酒庄,2008,,,,750,
10,Château Troplong Mondot,卓龙梦特,http://www.chateau-troplong-mondot.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Troplong Mondot,卓龙梦特,2008,,,,750,
11,Château Beauséjour (Duffau-Lagarrosse),博塞庄园/博塞留堡,http://www.beausejourhdl.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Beauséjour (Duffau-Lagarrosse),博塞庄园/博塞留堡,2008,,,,750,
12,Château Canon,卡侬庄园/卡农庄园/,http://www.chateaucanon.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Canon,卡侬庄园/卡农庄园/,2008,,,,750,
13,Château La Gaffelière,嘉芙丽庄园/佳福利酒堡,http://www.chateau-la-gaffeliere.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Gaffelière,嘉芙丽庄园/佳福利酒堡,2008,,,,750,
14,Château Trotte Vieille,老托特堡/卓特威庄园,http://www.trottevieille.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Trotte Vieille,老托特堡/卓特威庄园,2008,,,,750,
15,Château Balestard la Tonnelle,贝拉斯达堡,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Balestard la Tonnelle,贝拉斯达堡,2008,,,,750,
16,Château Berliquet,贝尔立凯堡,http://www.chateau-berliquet.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Berliquet,贝尔立凯堡,2008,,,,750,
17,Château Canon-la-Gaffelière,卡侬嘉芙丽庄园/大炮嘉芙丽,http://www.canon-la-gaffeliere.com,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Canon-la-Gaffelière,卡侬嘉芙丽庄园/大炮嘉芙丽,2008,,,,750,
18,Château Corbin,高尔班堡/高宾/,http://www.chateau-corbin.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Corbin,高尔班堡/高宾/,2008,,,,750,
19,Château Faurie de Souchard,弗海德苏查尔堡/菲力苏庄,http://fauriedesouchard.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Faurie de Souchard,弗海德苏查尔堡/菲力苏庄,2008,,,,750,
20,Château Franc Mayne,弗朗梅诺堡,http://www.chateaufrancmayne.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Franc Mayne,弗朗梅诺堡,2008,,,,750,
21,Château Guadet Saint-Julien,卡岱圣于连酒庄,http://www.chateau-guadet-saintemilion.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Guadet Saint-Julien,卡岱圣于连酒庄,2008,,,,750,
22,Château L'Arrosée,拉若斯堡,http://www.chateau-larrosee.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château L'Arrosée,拉若斯堡,2008,,,,750,
23,Château La Dominique,多明尼克酒庄/多明尼格庄,http://www.chateau-ladominique.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Dominique,多明尼克酒庄/多明尼格庄,2008,,,,750,
24,Château La Tour Figeac,拉图飞卓堡,http://www.latourfigeac.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Tour Figeac,拉图飞卓堡,2008,,,,750,
25,Château Laniote,,http://www.laniote.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Laniote,,2008,,,,750,
26,Château Laroque,,http://www.chateau-laroque.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Laroque,,2008,,,,750,
27,Château Les Grandes Murailles ,长城堡,http://www.lesgrandesmurailles.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Les Grandes Murailles ,长城堡,2008,,,,750,
28,Château Pavie-Decesse,柏菲德凯斯庄园,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Pavie-Decesse,柏菲德凯斯庄园,2008,,,,750,
29,Château Pipeau,琵博酒庄,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Pipeau,琵博酒庄,2008,,,,750,
30,Château Tertre Daugay,瞭望塔山庄,http://www.chateau-tertre-daugay.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Tertre Daugay,瞭望塔山庄,2008,,,,750,
31,Château Yon Figeac,雍‧飞香城堡/永卓酒庄,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Yon Figeac,雍‧飞香城堡/永卓酒庄,2008,,,,750,
